n_donors,clutter_db,rcs,donor_sigma,scenario_id,no_passive_median_m,random_median_m,highest_snr_median_m,shortest_pulse_median_m,metrology_eig_median_m,best_simple_median_m,metrology_eig_beats_no_passive,metrology_eig_beats_best_simple
12,25,100,100,34,391.9849669027205,335.9446246545726,335.9446246545726,335.9446246545726,335.9446246545726,335.9446246545726,1,0
12,25,1000,30,35,351.7515602153285,37.467215949242444,33.56393632784005,38.73220965550774,30.172287465495117,33.56393632784005,1,1
12,25,1000,100,36,361.71197010268656,52.096744868628655,46.7802336696862,49.840796715959456,49.26156933275759,46.7802336696862,1,0
20,5,10,30,37,332.54261438445116,22.17408863695914,24.466314767815433,27.702300610488145,20.055756615297256,22.17408863695914,1,1
20,5,10,100,38,362.66327065910997,53.97982197902496,50.96450474391,42.71108017849263,47.867738319232316,42.71108017849263,1,0
20,5,100,30,39,359.225017174982,18.649820457485333,16.332893836016087,10.426380702251308,12.518067705862988,10.426380702251308,1,0
20,5,100,100,40,283.34764317846407,23.192250947596165,35.34641354838904,25.8731520486647,21.443417029303138,23.192250947596165,1,1
20,5,1000,30,41,372.8316038991666,14.15372351929026,28.927641963881168,12.54824702284169,12.009644480636803,12.54824702284169,1,1
20,5,1000,100,42,385.0236791127299,20.457694199853904,42.82189404359431,18.380347728979885,12.19854031301807,18.380347728979885,1,1
20,15,10,30,43,358.2663295197489,166.9584227185825,166.9584227185825,142.29377096443585,142.29377096443585,142.29377096443585,1,0
20,15,10,100,44,301.15334499237736,124.98497170658193,106.07312775344167,117.10258862281191,124.98497170658193,106.07312775344167,1,0
20,15,100,30,45,278.07392265936335,22.263943751728245,29.242530961109885,24.017775110445314,22.927900326898396,22.263943751728245,1,0
20,15,100,100,46,369.20476509563,44.3104968734157,50.96633630346682,43.180980646487654,35.012803236554234,43.180980646487654,1,1
20,15,1000,30,47,346.46788961498726,14.001729582126238,24.269495011066716,18.30760953868861,11.074751714747606,14.001729582126238,1,1
20,15,1000,100,48,412.5967174099867,24.861674352244236,41.28045738439415,22.66368479862265,16.45287604223642,22.66368479862265,1,1
20,25,10,30,49,377.11282246171527,370.047885410223,370.047885410223,370.047885410223,370.047885410223,370.047885410223,1,0
20,25,10,100,50,347.8784117197473,289.83242179414657,289.83242179414657,289.83242179414657,289.83242179414657,289.83242179414657,1,0
20,25,100,30,51,351.44879129263074,168.73131213038187,168.73131213038187,168.73131213038187,168.73131213038187,168.73131213038187,1,0
20,25,100,100,52,387.43623505950796,319.5220653916082,319.5220653916082,319.5220653916082,319.5220653916082,319.5220653916082,1,0
20,25,1000,30,53,352.1818769251005,31.255700521654667,34.76412097785281,31.364453854649728,25.936818432205055,31.255700521654667,1,1
20,25,1000,100,54,371.860605439988,52.460341081642,54.70240402902781,51.11281158269355,52.63693987427152,51.11281158269355,1,0
