policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma
HIGHEST_SNR,330001,40.533533733407936,1.3467691869064464,40.9567132770278,59,0,0,0,114,30,12,15,1000,100
SHORTEST_PULSE,330001,7.716913613244848,0.4746006559448591,26.47405844041652,57,2,0,0,114,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330001,13.492390307691139,0.36538561467383207,26.250766084240155,57,2,0,0,114,30,12,15,1000,100
NO_PASSIVE,330002,439.3469306141953,2.5887835450182464,445.27907653515393,0,0,0,0,91,30,12,15,1000,100
RANDOM,330002,36.20050366276579,0.8444520342784358,32.565521544875146,48,0,0,0,91,30,12,15,1000,100
HIGHEST_SNR,330002,65.6458733714299,1.6004884717804726,34.188205656149265,48,0,0,0,91,30,12,15,1000,100
SHORTEST_PULSE,330002,63.36532176413214,1.5251418873555644,48.644243204237966,48,0,0,0,91,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330002,54.05380209397284,1.3784781043685377,31.470789668907088,48,0,0,0,91,30,12,15,1000,100
NO_PASSIVE,330003,57.41637312939472,3.3314643135044264,445.27907653515393,0,0,0,0,147,30,12,15,1000,100
RANDOM,330003,81.25737205167404,2.6184804561374695,41.89006863394113,60,0,0,0,147,30,12,15,1000,100
HIGHEST_SNR,330003,72.91763805658366,1.4912198734110418,52.474566861936765,59,1,0,0,147,30,12,15,1000,100
SHORTEST_PULSE,330003,37.22267141652063,1.5524038980565582,34.17705213953161,60,0,0,0,147,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330003,18.9143266404266,0.9855520562255178,34.15285602649908,60,0,0,0,147,30,12,15,1000,100
NO_PASSIVE,330004,979.8720521763275,4.381908265918612,445.27907653515393,0,0,0,0,143,30,12,15,1000,100
RANDOM,330004,28.476348495348805,1.0172427121718428,21.735745812833603,60,0,0,0,143,30,12,15,1000,100
HIGHEST_SNR,330004,16.696286449496277,0.6537866290722074,30.04234504642679,60,0,0,0,143,30,12,15,1000,100
SHORTEST_PULSE,330004,24.652779817741603,0.7609033557901925,21.814816521088243,60,0,0,0,143,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330004,19.979107597683864,0.7230679609606867,19.968054354753534,60,0,0,0,143,30,12,15,1000,100
NO_PASSIVE,330005,662.0290320115339,3.509359617685673,445.27907653515393,0,0,0,0,159,30,12,15,1000,100
