policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements
METROLOGY_CONDITIONED_EIG,260935,25.10119762707068,1.2235156725753165,41.891059436718585,25,0,0,0,30
NO_PASSIVE,260936,150.63853717570905,3.6598866944549906,445.27907653515393,0,0,0,0,15
RANDOM,260936,11.007836684684428,0.3375357593104664,24.514590070217523,14,0,0,0,15
HIGHEST_SNR,260936,11.007836684684428,0.3375357593104664,24.514590070217523,14,0,0,0,15
SHORTEST_PULSE,260936,11.007836684684428,0.3375357593104664,24.514590070217523,14,0,0,0,15
METROLOGY_CONDITIONED_EIG,260936,11.007836684684428,0.3375357593104664,24.514590070217523,14,0,0,0,15
NO_PASSIVE,260937,274.47874449156376,1.756378110642062,445.27907653515393,0,0,0,0,103
RANDOM,260937,15.965893127530352,0.6745117945840755,28.603204025909296,53,0,0,0,103
HIGHEST_SNR,260937,26.3610558094918,0.5367390370315627,32.81412753205946,53,0,0,0,103
SHORTEST_PULSE,260937,17.159674640214597,0.10827752755544531,27.44222542370763,53,0,0,0,103
METROLOGY_CONDITIONED_EIG,260937,16.20544512954253,0.2919942173687963,25.51046394075947,53,0,0,0,103
NO_PASSIVE,260938,498.4531177218929,2.31074950716231,445.27907653515393,0,0,0,0,51
RANDOM,260938,35.8954295619299,2.3737966282023057,35.57986981442454,36,1,0,0,51
HIGHEST_SNR,260938,31.83358759119842,2.0813362631320604,101.90406690300452,36,1,0,0,51
SHORTEST_PULSE,260938,57.52006939308105,2.668061535055128,28.176828538344733,36,1,0,0,51
METROLOGY_CONDITIONED_EIG,260938,49.5686377213093,2.493243025702759,28.097357296098362,36,1,0,0,51
NO_PASSIVE,260939,697.7232893123206,1.1639002146971373,445.27907653515393,0,0,0,0,62
RANDOM,260939,23.200746706675936,0.5813584121010317,30.264943150537487,45,1,0,0,62
HIGHEST_SNR,260939,20.422614928255896,0.6945565744695616,28.10589838190436,45,1,0,0,62
SHORTEST_PULSE,260939,13.667335393244807,0.5898242688282481,27.44320529640476,45,1,0,0,62
METROLOGY_CONDITIONED_EIG,260939,27.308839268587022,0.8292653195177809,28.433602417903924,45,1,0,0,62
NO_PASSIVE,260940,560.7545306353746,1.362362845927064,445.27907653515393,0,0,0,0,101
RANDOM,260940,24.540710123432213,1.200793135310617,38.16586405443643,48,0,0,0,101
HIGHEST_SNR,260940,52.01737906069777,1.3620893199130126,51.944948570953414,48,0,0,0,101
SHORTEST_PULSE,260940,26.984516264405492,0.577544521943129,25.38152168463166,48,0,0,0,101
METROLOGY_CONDITIONED_EIG,260940,12.722818809759865,0.20169042332722542,27.754434138471517,47,1,0,0,101
NO_PASSIVE,260941,476.06045862198084,1.8092921378291351,445.27907653515393,0,0,0,0,135
RANDOM,260941,12.308110166471948,0.21412232063408937,15.392166627377513,56,1,0,0,135
HIGHEST_SNR,260941,14.218978978445332,0.27880539573541896,15.97574921397262,57,0,0,0,135
SHORTEST_PULSE,260941,22.34662277234266,0.25017495115113886,14.691813390224485,57,0,0,0,135
METROLOGY_CONDITIONED_EIG,260941,14.920673810428719,0.19458802731889652,13.93755383094501,57,0,0,0,135
NO_PASSIVE,260942,254.44892703889622,1.7308277926382254,445.27907653515393,0,0,0,0,83
RANDOM,260942,69.67684273840686,1.0999962528458491,48.66514895975709,39,1,0,0,83
HIGHEST_SNR,260942,81.3113621245939,1.214355616310775,53.95769847976163,40,0,0,0,83
SHORTEST_PULSE,260942,7.3329999161593715,0.5560144084193545,38.86207535958673,39,1,0,0,83
METROLOGY_CONDITIONED_EIG,260942,24.186644566414937,0.44339624865183214,30.68888099936042,39,1,0,0,83
NO_PASSIVE,260943,508.241583981985,1.7650426277456919,445.27907653515393,0,0,0,0,151
RANDOM,260943,33.5007225581331,1.26620236848982,23.79821653808804,60,0,0,0,151
HIGHEST_SNR,260943,20.84768276613167,0.41449004596284106,30.701251816883403,59,1,0,0,151
SHORTEST_PULSE,260943,5.331692562471233,0.3587461986257145,20.436274781174923,59,1,0,0,151
METROLOGY_CONDITIONED_EIG,260943,8.20871149173085,0.4955348273186507,20.305494860640973,60,0,0,0,151
NO_PASSIVE,260944,360.3661434200827,0.9352742090643631,445.27907653515393,0,0,0,0,48
RANDOM,260944,14.032045318431123,0.46327324152707666,35.88763519293113,40,0,0,0,48
HIGHEST_SNR,260944,43.34044697657028,0.5202592718788144,34.74770365576536,40,0,0,0,48
SHORTEST_PULSE,260944,18.700591802990456,0.4799457681572218,36.07429314959572,40,0,0,0,48
METROLOGY_CONDITIONED_EIG,260944,42.92283615246239,1.1003767131549027,34.44001345259181,40,0,0,0,48
NO_PASSIVE,260945,279.58169605335394,2.740732527613092,445.27907653515393,0,0,0,0,92
RANDOM,260945,7.795896340397911,0.16953726313893216,18.882456485410533,55,0,0,0,92
HIGHEST_SNR,260945,6.936819445507768,0.004690498317341739,26.881619308002634,55,0,0,0,92
SHORTEST_PULSE,260945,12.256915901915825,0.18095093081308658,16.56665021524412,55,0,0,0,92
METROLOGY_CONDITIONED_EIG,260945,12.354700612873769,0.18497086342507374,16.57430195870192,55,0,0,0,92
