policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma
RANDOM,301015,122.03236787395001,1.7064712424099677,84.37979189004206,5,0,0,0,6,1,4,5,10,30
HIGHEST_SNR,301015,112.48526819783034,1.388035336050497,86.95333529805686,5,0,0,0,6,1,4,5,10,30
SHORTEST_PULSE,301015,112.48526819783034,1.388035336050497,86.95333529805686,5,0,0,0,6,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301015,122.03236787395001,1.7064712424099677,84.37979189004206,5,0,0,0,6,1,4,5,10,30
NO_PASSIVE,301016,698.8089320468249,1.105957676811083,445.27923823147125,0,0,0,0,22,1,4,5,10,30
RANDOM,301016,841.5345886012893,1.071312409130985,311.3237101906897,22,0,0,0,22,1,4,5,10,30
HIGHEST_SNR,301016,841.5345886012893,1.071312409130985,311.3237101906897,22,0,0,0,22,1,4,5,10,30
SHORTEST_PULSE,301016,841.5345886012893,1.071312409130985,311.3237101906897,22,0,0,0,22,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301016,841.5345886012893,1.071312409130985,311.3237101906897,22,0,0,0,22,1,4,5,10,30
NO_PASSIVE,301017,870.8521593171615,0.47056050542044836,445.27923823147125,0,0,0,0,16,1,4,5,10,30
RANDOM,301017,104.04464905151562,1.0944347181267255,143.39242282483593,14,0,0,0,16,1,4,5,10,30
HIGHEST_SNR,301017,125.41600084125389,1.1460424264139373,149.27758268210272,14,0,0,0,16,1,4,5,10,30
SHORTEST_PULSE,301017,19.63033535610101,1.5250945729427872,39.80694392825585,14,0,0,0,16,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301017,17.415471777728257,1.5562391196349727,39.51200888875332,14,0,0,0,16,1,4,5,10,30
NO_PASSIVE,301018,481.74189871470213,3.220109648159953,445.27923823147125,0,0,0,0,6,1,4,5,10,30
RANDOM,301018,458.7059295711185,1.78539081020835,315.28751081383047,6,0,0,0,6,1,4,5,10,30
HIGHEST_SNR,301018,458.7059295711185,1.78539081020835,315.28751081383047,6,0,0,0,6,1,4,5,10,30
SHORTEST_PULSE,301018,458.7059295711185,1.78539081020835,315.28751081383047,6,0,0,0,6,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301018,458.7059295711185,1.78539081020835,315.28751081383047,6,0,0,0,6,1,4,5,10,30
NO_PASSIVE,301019,167.60306810250134,1.574248351549966,445.27923823147125,0,0,0,0,12,1,4,5,10,30
RANDOM,301019,36.24054931986818,1.8277531331462786,71.70111143208857,11,0,0,0,12,1,4,5,10,30
HIGHEST_SNR,301019,37.943742895138655,1.897858482678251,71.23732300368336,11,0,0,0,12,1,4,5,10,30
SHORTEST_PULSE,301019,36.24054931986818,1.8277531331462786,71.70111143208857,11,0,0,0,12,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301019,36.24054931986818,1.8277531331462786,71.70111143208857,11,0,0,0,12,1,4,5,10,30
NO_PASSIVE,301020,238.81869662165673,2.5101187858910814,445.27923823147125,0,0,0,0,3,1,4,5,10,30
RANDOM,301020,85.17800382428078,1.691609218715288,315.1640496756174,3,0,0,0,3,1,4,5,10,30
HIGHEST_SNR,301020,85.17800382428078,1.691609218715288,315.1640496756174,3,0,0,0,3,1,4,5,10,30
SHORTEST_PULSE,301020,85.17800382428078,1.691609218715288,315.1640496756174,3,0,0,0,3,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301020,85.17800382428078,1.691609218715288,315.1640496756174,3,0,0,0,3,1,4,5,10,30
NO_PASSIVE,301021,295.8044556148472,2.1264540871295523,445.27923823147125,0,0,0,0,3,1,4,5,10,30
RANDOM,301021,287.5917432005899,2.131637606402658,320.4121248535444,3,0,0,0,3,1,4,5,10,30
HIGHEST_SNR,301021,287.5917432005899,2.131637606402658,320.4121248535444,3,0,0,0,3,1,4,5,10,30
SHORTEST_PULSE,301021,287.5917432005899,2.131637606402658,320.4121248535444,3,0,0,0,3,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301021,287.5917432005899,2.131637606402658,320.4121248535444,3,0,0,0,3,1,4,5,10,30
NO_PASSIVE,301022,700.9842794357727,0.9576650196715439,445.27923823147125,0,0,0,0,0,1,4,5,10,30
RANDOM,301022,700.9842794357727,0.9576650196715439,445.27923823147125,0,0,0,0,0,1,4,5,10,30
HIGHEST_SNR,301022,700.9842794357727,0.9576650196715439,445.27923823147125,0,0,0,0,0,1,4,5,10,30
SHORTEST_PULSE,301022,700.9842794357727,0.9576650196715439,445.27923823147125,0,0,0,0,0,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301022,700.9842794357727,0.9576650196715439,445.27923823147125,0,0,0,0,0,1,4,5,10,30
NO_PASSIVE,301023,197.32539452018807,0.9329948274603158,445.27923823147125,0,0,0,0,4,1,4,5,10,30
RANDOM,301023,35.084483975785076,0.9832625503705834,315.74466485666943,4,0,0,0,4,1,4,5,10,30
HIGHEST_SNR,301023,35.084483975785076,0.9832625503705834,315.74466485666943,4,0,0,0,4,1,4,5,10,30
SHORTEST_PULSE,301023,35.084483975785076,0.9832625503705834,315.74466485666943,4,0,0,0,4,1,4,5,10,30
METROLOGY_CONDITIONED_EIG,301023,35.084483975785076,0.9832625503705834,315.74466485666943,4,0,0,0,4,1,4,5,10,30
NO_PASSIVE,301024,710.4355699825603,3.0108863695630457,445.27923823147125,0,0,0,0,26,1,4,5,10,30
RANDOM,301024,209.94387588985296,2.389745901503108,97.2624407284486,26,0,0,0,26,1,4,5,10,30
HIGHEST_SNR,301024,209.94387588985296,2.389745901503108,97.2624407284486,26,0,0,0,26,1,4,5,10,30
SHORTEST_PULSE,301024,209.94387588985296,2.389745901503108,97.2624407284486,26,0,0,0,26,1,4,5,10,30
