policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma,maneuver_deg,assoc_error_prob,outlier_prob
NO_PASSIVE,501013,424.19787447221796,0.5688403967654001,445.27923823147125,0,0,0,0,33,1,12,10,100,30,0,0.0,0.0
RANDOM,501013,17.10712326682345,0.8462360085992788,43.02913441036744,32,0,0,0,33,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501013,17.10712326682345,0.8462360085992788,43.02913441036744,32,0,0,0,33,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501013,16.526916786288737,0.7940386444504931,42.98274155320281,32,0,0,0,33,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501013,16.526916786288737,0.7940386444504931,42.98274155320281,32,0,0,0,33,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501014,348.98760225583254,1.8061427604457685,445.27923823147125,0,0,0,0,36,1,12,10,100,30,0,0.0,0.0
RANDOM,501014,71.14158745475282,1.0666899665589564,50.27500927157315,27,1,0,0,36,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501014,42.82395109407173,1.4048806680268493,49.087910554202544,27,1,0,0,36,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501014,75.1283037908408,1.209164692563267,46.68356446831089,27,1,0,0,36,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501014,54.84740296254064,1.295707923298676,44.01537244302332,28,0,0,0,36,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501015,597.1287645791721,3.097972727930131,445.27923823147125,0,0,0,0,46,1,12,10,100,30,0,0.0,0.0
RANDOM,501015,13.69808627414576,0.6537746979436047,22.228854210618636,39,0,0,0,46,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501015,13.947980708256036,0.5502453191433804,22.54384381507228,39,0,0,0,46,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501015,14.56997030717838,0.4945517983596347,22.130671309887642,39,0,0,0,46,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501015,10.866481843893302,0.2065828707411901,22.112096591412293,39,0,0,0,46,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501016,113.23504601560317,2.361823093671162,445.27923823147125,0,0,0,0,121,1,12,10,100,30,0,0.0,0.0
RANDOM,501016,57.309570803237136,2.898460887174,52.80831315906901,53,1,0,0,121,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501016,83.7844326714996,2.95703533439299,57.93075369247781,52,2,0,0,121,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501016,31.329376030185898,1.3529400035990837,27.99426675204362,53,1,0,0,121,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501016,33.59828043997333,0.821544571100089,24.651087085657654,52,2,0,0,121,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501017,498.55372003786636,0.9101321514620405,445.27923823147125,0,0,0,0,94,1,12,10,100,30,0,0.0,0.0
RANDOM,501017,32.51620738761268,0.7595451875937159,17.683029202375216,47,0,0,0,94,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501017,18.1434752014513,0.6936252189201643,22.083136498599412,47,0,0,0,94,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501017,38.412013718335594,1.114765029059738,18.37909164748649,47,0,0,0,94,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501017,22.58585282876022,0.2936117902077819,17.26258052837067,46,1,0,0,94,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501018,268.30381422464336,1.2020017817701596,445.27923823147125,0,0,0,0,51,1,12,10,100,30,0,0.0,0.0
RANDOM,501018,28.07159775012659,0.536744157904435,23.79435444573062,28,0,0,0,51,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501018,28.272424993106235,0.5846728306605855,30.540114654581558,28,0,0,0,51,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501018,15.441616535162265,0.2750471211998385,22.543682585578274,28,0,0,0,51,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501018,12.513375992752923,0.1499596072965604,22.65014683338244,27,1,0,0,51,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501019,567.4899382743714,1.8199239720061355,445.27923823147125,0,0,0,0,115,1,12,10,100,30,0,0.0,0.0
RANDOM,501019,11.51332201372952,0.6574566056544804,19.77467824351075,52,5,0,0,115,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501019,5.210963858380484,0.38781462950552104,19.329376692703836,49,8,0,0,115,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501019,9.806084228679369,0.22286353974026699,17.78759358443998,54,3,0,0,115,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501019,17.658602196046555,0.7210144851838981,17.819775085481922,57,0,0,0,115,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501020,106.74017056140873,0.47053399343043323,445.27923823147125,0,0,0,0,71,1,12,10,100,30,0,0.0,0.0
RANDOM,501020,32.92229609836602,0.9702416847314155,36.90440274857987,52,0,0,0,71,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501020,18.86461061617756,0.9295015097465328,39.52354849494799,51,1,0,0,71,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501020,36.75549157665596,1.0045446805993048,34.658481243614325,52,0,0,0,71,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501020,17.273321536378223,0.820334197443413,34.33441277480622,52,0,0,0,71,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501021,597.2795673298291,2.199120886076212,445.27923823147125,0,0,0,0,66,1,12,10,100,30,0,0.0,0.0
RANDOM,501021,27.995005258414164,0.48150680715364946,34.70167551209411,38,1,0,0,66,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501021,27.268839992198313,0.46094937431494515,39.53716598634729,39,0,0,0,66,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501021,28.90597438227633,0.8536552983308386,30.677211245533943,37,2,0,0,66,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501021,20.449884400507294,0.5540187794471422,24.736930220874278,38,1,0,0,66,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501022,544.3140912081146,2.4933585677434333,445.27923823147125,0,0,0,0,62,1,12,10,100,30,0,0.0,0.0
RANDOM,501022,5.242100492961566,0.2678888051885766,24.509925370731985,50,1,0,0,62,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501022,12.032939733906183,0.39120405246897283,26.398029430717216,50,1,0,0,62,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501022,9.208052048636548,0.5454803217577802,25.60612377807875,51,0,0,0,62,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501022,5.354919117728018,0.1991228700794225,24.412200550362925,51,0,0,0,62,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501023,537.8388139582291,0.48339147438947716,445.27923823147125,0,0,0,0,126,1,12,10,100,30,0,0.0,0.0
RANDOM,501023,11.314054619828953,0.5802842523350241,25.40937050681834,59,0,0,0,126,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501023,12.119081022886197,0.21974462276275697,30.306605594747246,59,0,0,0,126,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501023,3.6607369248960073,0.599249377473572,22.19443203410937,59,0,0,0,126,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501023,3.0179178344589457,0.3791289265803831,18.5761200614609,59,0,0,0,126,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501024,32.88159073160594,0.8230428107414015,445.27923823147125,0,0,0,0,64,1,12,10,100,30,0,0.0,0.0
RANDOM,501024,36.2638465245131,0.8468283872016884,27.077928851702637,48,0,0,0,64,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501024,41.17501793708119,0.7571077803366255,27.564292635362246,48,0,0,0,64,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501024,31.859237998536564,0.5327090712837423,26.918907306868018,48,0,0,0,64,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501024,35.48132301682317,0.51766495564261,25.768725752955564,48,0,0,0,64,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501025,680.3021758763134,2.5894274776542647,445.27923823147125,0,0,0,0,44,1,12,10,100,30,0,0.0,0.0
RANDOM,501025,37.43359688218951,0.4721066058815299,37.14043926597294,32,0,0,0,44,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501025,42.630137406602124,0.5402537255748658,47.158271301426325,32,0,0,0,44,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501025,15.120491954217233,0.6520341309590816,34.79296098114473,32,0,0,0,44,1,12,10,100,30,0,0.0,0.0
METROLOGY_CONDITIONED_EIG,501025,35.14143214932843,0.9572674888743323,35.40684947689593,32,0,0,0,44,1,12,10,100,30,0,0.0,0.0
NO_PASSIVE,501026,197.52205235770887,2.269508307494238,445.27923823147125,0,0,0,0,95,1,12,10,100,30,0,0.0,0.0
RANDOM,501026,14.78151473401666,0.24458823683699957,35.35694730975809,57,1,0,0,95,1,12,10,100,30,0,0.0,0.0
HIGHEST_SNR,501026,34.38234448799569,1.1509028006569473,34.77128468352629,57,1,0,0,95,1,12,10,100,30,0,0.0,0.0
SHORTEST_PULSE,501026,18.38712907023578,1.0039366022634353,28.748053525030542,58,0,0,0,95,1,12,10,100,30,0,0.0,0.0
