policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements
RANDOM,260913,30.2048546596809,0.8140255589345865,26.18553212909213,58,2,0,0,168
HIGHEST_SNR,260913,7.7400487022422855,0.48813563168127067,24.804329028151848,60,0,0,0,168
SHORTEST_PULSE,260913,18.672494827727345,0.4252662251072647,24.328973683147062,60,0,0,0,168
METROLOGY_CONDITIONED_EIG,260913,10.275799734667538,0.30018811232048676,20.966560380837453,58,2,0,0,168
NO_PASSIVE,260914,576.258940178612,0.9289293778380955,445.27923823147125,0,0,0,0,121
RANDOM,260914,2.570163152087734,0.2516959456135984,20.125202529989576,54,0,0,0,121
HIGHEST_SNR,260914,58.11228418180997,1.5109805440397124,45.465369303810036,54,0,0,0,121
SHORTEST_PULSE,260914,13.197699097090055,0.6901495559028886,14.258623929717219,54,0,0,0,121
METROLOGY_CONDITIONED_EIG,260914,5.893778814759996,0.32509645286706657,14.45688949445608,54,0,0,0,121
NO_PASSIVE,260915,750.9723895751547,2.420901967505956,445.27923823147125,0,0,0,0,177
RANDOM,260915,11.405750998324566,0.4449096318879923,16.91229571893701,56,3,0,0,177
HIGHEST_SNR,260915,22.196397751484643,0.5842561069635709,19.893591744053964,57,2,0,0,177
SHORTEST_PULSE,260915,2.7079938894837974,0.27262301479973294,14.838456308020598,57,2,0,0,177
METROLOGY_CONDITIONED_EIG,260915,7.325960388532908,0.37491039146678906,14.758172567925245,57,2,0,0,177
NO_PASSIVE,260916,110.39331797701229,2.065258916436782,445.27923823147125,0,0,0,0,88
RANDOM,260916,12.079894980883076,0.6253332506877829,34.96975668213256,45,0,0,0,88
HIGHEST_SNR,260916,21.10775660822499,0.8622602158734142,54.22231034054034,45,0,0,0,88
SHORTEST_PULSE,260916,3.1164043379581656,0.8279354615005813,34.27519100672309,45,0,0,0,88
METROLOGY_CONDITIONED_EIG,260916,20.668827819065704,0.4452209403472734,32.18871823173014,45,0,0,0,88
NO_PASSIVE,260917,177.0477524378156,0.8519040102196316,445.27923823147125,0,0,0,0,48
RANDOM,260917,12.137255905392331,0.6191048619443159,20.77955013718467,32,2,0,0,48
HIGHEST_SNR,260917,16.519668487895014,0.8772432373335192,20.985526807688068,32,2,0,0,48
SHORTEST_PULSE,260917,6.600584270435327,0.8746113415626399,20.8041851994008,33,1,0,0,48
METROLOGY_CONDITIONED_EIG,260917,14.487798454996135,0.7007244739612543,20.82079137232327,32,2,0,0,48
NO_PASSIVE,260918,478.151966314011,2.2251913552874893,445.27923823147125,0,0,0,0,133
RANDOM,260918,22.90901084539522,1.1519899117036039,30.485009605110296,60,0,0,0,133
HIGHEST_SNR,260918,13.383043908198255,0.508819237529458,26.969744190115634,59,1,0,0,133
SHORTEST_PULSE,260918,10.603906854321366,0.19537541246875426,31.942926553743543,60,0,0,0,133
METROLOGY_CONDITIONED_EIG,260918,12.524194514843536,0.7261680822123602,22.39420657003867,59,1,0,0,133
NO_PASSIVE,260919,418.2944806312009,4.631098000133369,445.27923823147125,0,0,0,0,42
RANDOM,260919,23.207091479693666,0.8242789637916086,36.81417123525646,31,1,0,0,42
HIGHEST_SNR,260919,28.99898197072703,0.49312756859433904,44.16674441552768,31,1,0,0,42
SHORTEST_PULSE,260919,11.695490138648303,0.8885758861026513,35.025235538615,31,1,0,0,42
METROLOGY_CONDITIONED_EIG,260919,6.953238693729394,0.6924580036452248,33.04252477194165,31,1,0,0,42
NO_PASSIVE,260920,480.985585262843,1.4992276937112046,445.27923823147125,0,0,0,0,82
RANDOM,260920,21.154892751418604,0.8369851577498767,21.746976518060173,54,0,0,0,82
HIGHEST_SNR,260920,16.66172736540646,0.7561090335260987,20.81204183174799,54,0,0,0,82
SHORTEST_PULSE,260920,16.66172736540646,0.7561090335260987,20.81204183174799,54,0,0,0,82
METROLOGY_CONDITIONED_EIG,260920,15.771271478686987,0.6592467812558471,20.924888704423612,54,0,0,0,82
